start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
41,644.8703179187355,20.42013167455509,728.8690967428666,1000,0,0.9,0.5,8.0,0.23060683752803487,835.7492570883265,453.7145542388663,382.03470284946025,382.03470284946025,0.6367245047491004,9.703636169433594e-05,4.76837158203125e-07,0.06462335586547852,0.0001289844512939453,0.003747224807739258,0
42,720.4692188604535,14.410004778484142,453.7145542388663,1000,0,0.9,0.3,7.0,0.12435880652948843,607.0175236861305,428.69189461439544,178.32562907173508,178.32562907173508,0.29720938178622536,8.487701416015625e-05,4.76837158203125e-07,0.06351923942565918,7.939338684082031e-05,0.003408670425415039,0
43,480.390020701025,18.089643283586504,428.69189461439544,1000,0,0.5,0.5,8.0,0.20309629069256382,630.2957829653154,291.3192326963939,338.9765502689215,338.9765502689215,0.5649609171148695,8.392333984375e-05,7.152557373046875e-07,0.06486797332763672,7.414817810058594e-05,0.003420591354370117,0
44,454.54095765771024,21.969353163450652,291.3192326963939,1000,0,0.4,0.5,4.0,0.13468536861219954,629.0570439536646,425.0824820342585,203.97456191940609,203.97456191940609,0.3399576031990108,8.559226989746094e-05,2.384185791015625e-07,0.06378173828125,7.390975952148438e-05,0.0036325454711914062,0
45,389.25226767318367,59.95119407012021,425.0824820342585,1000,0,0.8,0.5,8.0,0.07863536201590718,686.3853869313842,652.9946761652664,33.39071076611788,33.39071076611788,0.05565118461019658,8.392333984375e-05,4.76837158203125e-07,0.06403517723083496,7.557868957519531e-05,0.003911495208740234,0
46,417.9164391620435,33.55861847116759,652.9946761652664,1000,0,0.8,0.3,8.0,0.2482302687070532,906.7448459647071,499.3790646875272,407.3657812771799,407.3657812771799,0.6789429687952993,9.608268737792969e-05,2.384185791015625e-07,0.06434178352355957,7.557868957519531e-05,0.003596782684326172,0
47,605.9790287646218,37.59572715001067,499.3790646875272,1000,0,0.8,0.5,4.0,0.15346085447714733,638.5304974338051,392.242168924447,246.28832850935805,246.28832850935805,0.41048054751559704,9.560585021972656e-05,4.76837158203125e-07,0.06391620635986328,7.534027099609375e-05,0.003500699996948242,0
48,520.6990575029461,29.457859982714762,392.242168924447,1000,0,0.7,0.5,8.0,3.326109344901086e-06,702.7589417230547,7430.717756353253,-6727.9588146301985,-6727.9588146301985,-5.0,8.177757263183594e-05,4.76837158203125e-07,0.06424760818481445,7.414817810058594e-05,0.0034906864166259766,0
49,430.77923549799675,33.99746327813225,743.0717756353254,1000,0,0.7,0.6,8.0,0.6040686325294535,1207.877153881903,451.9621826641621,755.9149712177409,755.9149712177409,1.2598582853629017,9.298324584960938e-05,1.6689300537109375e-06,0.06455230712890625,7.510185241699219e-05,0.003644227981567383,0
50,649.3840135941268,69.81164253597203,451.9621826641621,1000,0,0.1,0.5,3.0,0.3153582453331057,1000.8787660605408,508.839198669172,492.0395673913688,492.0395673913688,0.8200659456522814,8.535385131835938e-05,4.76837158203125e-07,0.06429553031921387,7.486343383789062e-05,0.003556489944458008,0
