start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
74,435.6874672458589,5.0296016950013795,518.0846355985574,1000,0,0.5,0.8,8.0,0.14270274094679491,748.6043528628455,525.9389364811225,222.66541638172305,222.66541638172305,0.37110902730287165,8.153915405273438e-05,2.384185791015625e-07,0.06792068481445312,7.271766662597656e-05,0.0036809444427490234,0
75,476.88605142220814,33.964787680079674,525.9389364811225,1000,0,0.3,0.9,8.0,0.115388970785856,766.0002877808749,611.6132761906483,154.38701159022662,154.38701159022662,0.25731168598371124,8.440017700195312e-05,2.384185791015625e-07,0.0693504810333252,7.510185241699219e-05,0.0037102699279785156,0
76,491.60191693988236,34.29979635512408,611.6132761906483,1000,0,0.2,0.5,8.0,0.400778931183716,1036.8397238129828,455.1171363688689,581.722587444114,581.722587444114,0.9695376457401892,8.344650268554688e-05,4.76837158203125e-07,0.06910181045532227,7.367134094238281e-05,0.0037512779235839844,0
77,515.6041887900356,65.15444187786842,455.1171363688689,1000,0,0.9,0.1,8.0,0.3197681727059394,935.1167873253314,438.0341241585695,497.0826631667619,497.0826631667619,0.828471105277937,8.416175842285156e-05,4.76837158203125e-07,0.06883835792541504,7.295608520507812e-05,0.003835916519165039,0
78,461.1658416109855,59.243868214293244,438.0341241585695,1000,0,0.2,0.1,8.0,0.20191489504797633,897.89964843296,560.8829212991247,337.0167271338353,337.0167271338353,0.561694545223058,8.344650268554688e-05,4.76837158203125e-07,0.06836819648742676,7.2479248046875e-05,0.0036940574645996094,0
79,456.53949812050234,55.1700187890572,560.8829212991247,1000,0,0.6,0.4,8.0,0.2800253288309953,917.5212238837871,468.01277793740053,449.5084459463866,449.5084459463866,0.7491807432439774,9.489059448242188e-05,4.76837158203125e-07,0.06911444664001465,7.319450378417969e-05,0.003705263137817383,0
80,519.1455520276758,49.79695898201392,468.01277793740053,1000,0,0.4,0.1,8.0,0.2481688475882726,881.774278625398,474.4941196082763,407.28015901712166,407.28015901712166,0.6788002650285367,8.296966552734375e-05,2.384185791015625e-07,0.06923937797546387,7.343292236328125e-05,0.003668546676635742,0
81,498.6924423915657,47.88522952922904,474.4941196082763,1000,0,0.1,0.1,8.0,0.22899953285723407,858.4690551276542,478.8252672076618,379.6437879199924,379.6437879199924,0.632739646533321,9.5367431640625e-05,4.76837158203125e-07,0.06931328773498535,7.390975952148438e-05,0.003750324249267578,0
82,496.27261011323674,45.27455562680218,478.8252672076618,1000,0,0.4,0.1,8.0,0.16342381130445213,823.6451980586585,556.7871712068942,266.8580268517643,266.8580268517643,0.4447633780862734,8.344650268554688e-05,2.384185791015625e-07,0.06959295272827148,7.486343383789062e-05,0.003754854202270508,0
83,489.2936729510067,41.79394063845646,556.7871712068942,1000,0,0.4,0.1,8.0,0.1489417396161136,849.6043240130742,613.0489927806,236.55533123247426,236.55533123247426,0.39425888538745735,9.679794311523438e-05,4.76837158203125e-07,0.06964516639709473,7.43865966796875e-05,0.003636598587036133,0
