avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,feature_extraction_overhead (s),training_overhead (s),inference_overhead (s),compute_utility_overhead (s),episode_duration (s)
385.8627715999683,4.645198815688894,371.2098445259393,15.106237443235736,0.0,0.4,0.3,9.0,0.00034346315830041516,0.000722,0.107162,0.005896,9.7e-05,1e-06
394.9320199242857,10.91732791758019,382.4114389309547,16.075454075784794,0.0,0.8,0.8,6.0,0.00028695956091182934,0.000688,0.115311,0.005583,0.00011,1e-06
410.0185785427064,15.360205719164876,384.51420886690556,12.006429559885976,0.0,0.8,0.7,9.0,0.00023394609951340485,0.000557,0.109641,0.006302,8.2e-05,1e-06
448.2884271063855,5.9125378360359235,474.11764705882354,37.20326659021624,0.0,0.8,0.9,9.0,0.0002701588248808588,0.000606,0.115067,0.007722,0.000107,1e-06
567.4494749213586,5.572848760162743,591.7647058823529,37.203266590216224,0.0,0.8,0.6,7.0,0.00023198652670054198,0.000607,0.11,0.007297,7.1e-05,1e-06
681.918726037477,5.610429642301982,709.4117647058824,37.20326659021624,0.0,0.8,0.9,9.0,0.00016845522265612062,0.000525,0.114655,0.0055,9.8e-05,1e-06
783.3847676278757,9.076286430469183,785.4907501370283,36.657453081955126,0.0,0.8,0.6,7.0,0.00019432309183363557,0.000847,0.109643,0.005919,8.4e-05,1e-06
785.6886450955672,10.786425352861265,772.1811421010907,23.762865009299432,0.0,0.8,0.8,8.0,0.00020396443414376152,0.000814,0.115017,0.006115,8.6e-05,1e-06
779.5383601771273,5.257298745596428,761.8091898034095,23.825683334100773,0.0,0.9,0.5,8.0,0.0002252207015785156,0.000505,0.098421,0.005929,6.1e-05,1e-06
691.5927006696271,5.917479610158993,646.6666666666666,42.16370213557842,0.0,0.9,0.3,6.0,0.00024587925932244287,0.000655,0.11706,0.007946,7.7e-05,2e-06
555.6196957328439,4.51206095017675,513.3333333333333,42.16370213557838,0.0,0.8,0.1,9.0,0.0003514484302457197,0.000716,0.116331,0.007501,0.000143,1e-06
438.15634486636816,5.096972746480355,389.35206944512584,31.432753736398762,0.0,0.7,0.9,9.0,0.00028536575384351093,0.000891,0.134443,0.006344,0.000117,1e-06
367.18453979421105,2.5686098267150093,376.0195374270824,15.684827036172965,0.0,0.9,0.5,8.0,0.00036491206633591295,0.000603,0.114317,0.006489,7e-05,1e-06
406.4962085646325,6.047624600981477,382.11066514114475,26.650584813904885,0.0,0.9,0.1,5.0,0.00011699441560778653,0.000586,0.112663,0.006557,7.3e-05,1e-06
521.1645530060804,3.2235277298334557,620.0,126.49110640673517,0.0,0.9,0.4,6.0,0.00014544904096297276,0.000469,0.131115,0.00625,6.6e-05,2e-06
759.2945399193901,3.2389019691361005,769.353640404499,5.5374635650156705,0.0,0.9,0.5,8.0,0.00013838680445450998,0.000658,0.109168,0.005182,9.2e-05,1e-06
784.8156203785755,4.4923341424012335,769.6569465808994,41.13411471305637,0.0,0.8,0.5,9.0,0.00013287249547342308,0.000573,0.10186,0.006374,6.5e-05,1e-06
787.5363480995175,8.890395316999921,782.7566424233133,16.163643074529205,0.0,0.9,0.2,9.0,0.00017213003156773223,0.000653,0.120164,0.005994,0.000127,1e-06
777.566084421667,6.351396275481452,765.6793727494169,32.38675200419087,0.0,0.8,0.3,9.0,0.00020710170182864634,0.000807,0.124538,0.007016,0.000303,1e-06
767.0776473149372,4.4833783771881235,765.9326583191834,14.459357736255775,0.0,0.8,0.8,7.0,0.0002095874315900852,0.000893,0.136051,0.007025,0.000162,1e-06
756.2964595490596,5.8773059510893155,722.8571428571429,30.116930096841692,0.0,0.8,0.8,9.0,0.00022434667798233704,0.000508,0.146048,0.00696,9.4e-05,1e-06
666.6849688868341,9.285420276894088,627.6190476190476,30.116930096841728,0.0,0.8,0.4,9.0,0.0002228254065104286,0.000693,0.156265,0.006453,0.000106,1e-06
571.845548755977,8.65604366265137,532.3809523809524,30.116930096841728,0.0,0.9,0.3,6.0,0.00031339762177662046,0.00055,0.157767,0.008806,6.7e-05,2e-06
486.79789667903185,8.246726144770658,437.14285714285717,30.116930096841717,0.0,0.5,0.5,9.0,0.0002748300153227493,0.000769,0.162479,0.00851,0.000189,0.0
406.74893087119983,24.34256225707543,375.45924760730475,19.51759901171434,0.0,0.6,0.4,9.0,0.00023222745138864705,0.0006,0.16818,0.006388,0.000118,1e-06
417.27310779094967,36.483676098104816,377.47551956813794,34.20318117153968,0.0,0.3,0.2,9.0,0.00014911316649749356,0.000815,0.353389,0.005708,0.000263,0.0
438.5321785640086,62.75555477483625,378.8974768137125,9.862661408078383,0.0,0.6,0.7,6.0,0.0001863633148288901,0.000752,0.11934,0.006567,0.00013,1e-06
467.8427821632286,69.71931661420227,381.00556240110706,31.472329634077713,0.0,0.5,0.9,9.0,0.0002491847503264388,0.000695,0.141419,0.008403,0.00012,1e-06
418.64807501245394,34.48600576462377,390.3898260045971,20.05793965702812,0.0,0.8,0.1,5.0,0.0002628922120080486,0.000589,0.111501,0.005362,6.7e-05,1e-06
